Model,mAP50,mAP50-95,Precision,Recall,FPS,Params,GFLOPs
YOLOv26 baseline,0.85,0.70161,0.90267,0.7187,98.0,2375616,5.1926016
CargoDefect-YOLOv26,0.85406,0.69426,0.88705,0.76986,52.2,2498817,6.9138688
